productName,productCompanyName,productCategory
Toothpaste,EcoChoice,MISCELLANEOUS
Lentils,FreshFarm Co.,DRIED
Shampoo,SuperMart,MISCELLANEOUS
Orange Juice,HealthPlus,DRINKS
Pork Chops,HealthPlus,MEATS
Shampoo,TastyTreats,MISCELLANEOUS
Carrot,SuperMart,FRUITS_AND_VEGETABLES
Spinach,TastyTreats,FRUITS_AND_VEGETABLES
Orange Juice,TastyTreats,DRINKS
Pasta,HealthPlus,DRIED
Orange Juice,FreshFarm Co.,DRINKS
Pork Chops,HealthPlus,MEATS
Pasta,DailyGrocers,DRIED
Frozen Vegetables,FreshFarm Co.,FROZEN
Spinach,SuperMart,FRUITS_AND_VEGETABLES
Spinach,FreshFarm Co.,FRUITS_AND_VEGETABLES
Toothpaste,HealthPlus,MISCELLANEOUS
Water,TastyTreats,DRINKS
Pork Chops,GoodFood Inc.,MEATS
Frozen Vegetables,SuperMart,FROZEN
Chicken Breast,EcoChoice,MEATS
Pork Chops,HealthPlus,MEATS
Lentils,DailyGrocers,DRIED
Lentils,EcoChoice,DRIED
Toothpaste,FreshFarm Co.,MISCELLANEOUS
Spinach,FreshFarm Co.,FRUITS_AND_VEGETABLES
Carrot,HealthPlus,FRUITS_AND_VEGETABLES
Orange Juice,Nature's Best,DRINKS
Frozen Vegetables,DailyGrocers,FROZEN
Carrot,FreshFarm Co.,FRUITS_AND_VEGETABLES
Toothpaste,TastyTreats,MISCELLANEOUS
Lentils,EcoChoice,DRIED
Frozen Vegetables,Nature's Best,FROZEN
Soda,SuperMart,DRINKS
Orange Juice,GoodFood Inc.,DRINKS
Frozen Vegetables,FreshFarm Co.,FROZEN
Carrot,SuperMart,FRUITS_AND_VEGETABLES
Soda,Nature's Best,DRINKS
Carrot,Nature's Best,FRUITS_AND_VEGETABLES
Yogurt,FreshFarm Co.,DAIRY
Frozen Pizza,SuperMart,FROZEN
Chicken Breast,EcoChoice,MEATS
Milk,TastyTreats,DAIRY
Dish Soap,DailyGrocers,MISCELLANEOUS
Shampoo,SuperMart,MISCELLANEOUS
Pasta,Nature's Best,DRIED
Orange Juice,SuperMart,DRINKS
Water,Nature's Best,DRINKS
Frozen Pizza,EcoChoice,FROZEN
Orange Juice,SuperMart,DRINKS
